# bt-ip.dat
# Last updated: 2025-04-11 10:30:12
103.251.166.126,CN
107.189.2.131,CN
108.53.194.223,CN
109.71.253.37,CN
111.90.151.241,CN
116.8.90.235,CN
123.245.62.75,CN
135.125.202.143,CN
138.124.183.78,CN
139.202.229.106,CN
144.126.245.19,CN
176.123.1.180,CN
176.56.6.77,CN
176.99.7.59,CN
177.188.141.32,CN
185.216.179.62,CN
185.230.4.150,CN
185.243.218.213,CN
193.177.162.187,CN
207.241.226.111,CN
207.241.231.226,CN
209.141.59.25,CN
210.61.187.208,CN
211.75.205.187,CN
211.75.210.220,CN
213.159.215.198,CN
220.200.35.97,CN
23.134.88.9,CN
23.153.248.83,CN
23.163.56.66,CN
34.89.91.10,CN
34.94.76.146,CN
35.227.59.57,CN
37.1.205.12,CN
37.235.176.37,CN
37.59.48.81,CN
45.154.96.35,CN
45.9.60.30,CN
5.182.86.242,CN
5.19.182.213,CN
5.255.124.190,CN
51.159.54.68,CN
52.58.128.163,CN
54.39.48.3,CN
57.128.230.226,CN
64.112.43.194,CN
79.116.203.102,CN
83.102.180.21,CN
83.31.30.28,CN
89.110.76.229,CN
91.216.110.53,CN
93.158.213.92,CN
94.23.207.177,CN
95.217.167.10,CN
